Nationality,Residence
Syrian,USA
Iranian,"Maryland, USA"
Iranian,"California, USA"
Iranian,"Illinois, USA"
Somali,"Ohio, USA"
Somali,London
Libya,Michigan
Somali,Minnesota
Yemen,Turkey
Yemen,Dijibouti
Iranian,Iran
Iranian ,Seattle 
Yemen,Washington 
Iranian,Washington 
Iranian ,Washington 
Iranian,Houston
Iranian,California
Syrian,Saudi Arabia
Iranian,Iran
Iranian,Memphis 
Iranian,Pennsylvania
Iranian,Georgia
Iranian,Virgina
Iranian,New Jersey
Iranian,Ohio
Iranian,Indiana
Syrian,USA
Syrian,Washington 
Iranian,Ohio
Iraqi,Massachusetts
Syrian,Georgia
Somalian,USA
Syrian,New York
Iranian,New York
Iranian,New York
x,x
x,
x,x
